web-scraper-order,web-scraper-start-url,as24_a1,as24_a1-href,title_raw,short_description_raw,price_raw,car_data_raw,first_release_raw,mileage_raw,transmission_raw,drive_raw,cartype_raw,fuel_raw,ps_raw,fuel_consumption_raw,motor_vehicle_inspection_raw,accidentcar_raw,garantie_raw,car_description_raw,equipment_raw,seller_raw,selleraddress_raw,sellerwebsite_raw,seller_phonenumber_raw
"1733582146-59","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=8","","https://www.autoscout24.ch/de/d/audi-a1-sportback-14-tfsi-11867011","AUDI A1 Sportback 1.4 TFSI","Standort Unterseestr. 81 in 8280 Kreuzlingen..Tel: 071 678 28 27 - 071 678 28 37","CHF 18'970.–","05.2017","05.2017","29'700 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","150 PS (110 kW)","4.8 l/100 km","Nein","Nein","Ja","[0E0E] mythosschwarz-mythosschwarz
[#F1] BusinessPlus
[N5W] Sitzbezüge in Leder Milano
[9JA] Ohne Raucherausführung und Ascher vorne und hinten
[YS] schwarz - felsgrau

Audi steht für ...","AusstattungenOptionale AusstattungAblagenpaketAlu-Räder 7.5J x 17 im 5-Speichen-DesignAssist: Einparkhilfe hintenAussenspiegel rechts und linksDachhimmel schwarzEinparkhilfe vorne und hintenFrontscheibe mit Color-BandKlimatisierungsautomatikKomfortpaketAblagenpaketAssist: Einparkhilfe hintenAussenspiegel rechts und linksBordcomputerLED InnenlichtpaketLicht- und RegensensorMittelarmlehne vorneTempomatKomfortschlüssel ohne Safe-FunktionArrow down iconMehr anzeigen","AMAG Occasions Center Kreuzlingen","Unterseestrasse 81, 8280 Kreuzlingen","","Geschäft 071 678 28 37"
"1733582149-60","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=8","","https://www.autoscout24.ch/de/d/audi-a1-sportback-35-tfsi-s-line-mythosschwarz-metallic-11952098","AUDI A1 Sportback 35 TFSI S Line Mythosschwarz Metallic","CH Fahrzeug-Angebot bis 23.12.2024 - Leasing ab 2.99% - Rückfahrkamera-Infotainment Paket-Verkaufspreis inkl. Flottenprämie","CHF 40'870.–","Neues Fahrzeug","Neues Fahrzeug","50 km","Halbautomatisches Getriebe","Vorderradantrieb","Kleinwagen","Benzin","150 PS (110 kW)","-","Ja","Nein","Ja","zuzüglich Ablieferungspauschale Fr. 620.-","AusstattungenOptionale AusstattungAssist: Adaptiver GeschwindigkeitsassistentAssist: Audi pre sense basicAssist: Einparkhilfe plusAssist: RückfahrkameraAssist: SpurwechselwarnungAudi drive selectDekor: Aluminiumoptik im InterieurDekor: Interieurelemente in KunstlederKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Arrow down iconMehr anzeigen","Garage G. Bürgisser AG","Stiegenackerstrasse 2, 5634 Merenschwand","http://www.buergisser-garage.ch","Geschäft 056 675 10 60"
"1733582156-61","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-35-tfsi-11630057","AUDI A1 Sportback 35 TFSI","CH-Fahrzeug! Gratisservice bis 100'000 km/ 10 Jahre! 5 Jahre Garantie!","CHF 39'900.–","Neues Fahrzeug","Neues Fahrzeug","10 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","150 PS (110 kW)","5.6 l/100 km","Ja","Nein","Ja","[WK0] Paket Infotainment
[H1H1] manhattangrau metallic

Attraktive Flottenkonditionen, für weitere Infos fragen Sie unser kompetentes Verkaufsteam. Wir freuen uns auf Sie! Preis exkl. Ablieferungspauschale. ...","AusstattungenOptionale AusstattungAssist: RückfahrkameraAssist: SpurwechselwarnungEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 5 Jahre oder 100'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Mittelarmlehne vornePaket: AssistenzpaketPaket: GepäckraumpaketPaket: LichtpaketArrow down iconMehr anzeigen","Küry Park Side AG","Seehaldenstrasse 2, 8803 Rüschlikon","http://www.kuery-parkside.ch","Geschäft 044 724 52 00"
"1733582158-62","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-11776931","AUDI A1 Sportback 30 TFSI Attraction","CH-Fahrzeug! Gratisservice bis 100'000 km/ 10 Jahre! 5 Jahre Garantie!","CHF 34'900.–","Neues Fahrzeug","Neues Fahrzeug","10 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","115 PS (85 kW)","5.6 l/100 km","Ja","Nein","Ja","[0E0E] mythosschwarz-mythosschwarz

Für Infos fragen Sie unser kompetentes Verkaufsteam. Wir freuen uns auf Sie!","AusstattungenOptionale AusstattungAssist: RückfahrkameraAssist: SpurwechselwarnungEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 5 Jahre oder 100'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Mittelarmlehne vornePaket: AssistenzpaketPaket: LichtpaketRäder: Aluminium-Gussräder - 16 Zoll - im 10-Speichen-DesignArrow down iconMehr anzeigen","Küry Park Side AG","Seehaldenstrasse 2, 8803 Rüschlikon","http://www.kuery-parkside.ch","Geschäft 044 724 52 00"
"1733582161-63","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-35-tfsi-s-line-11506088","AUDI A1 Sportback 35 TFSI S Line","CH-Ausführung / Gratisservice /","CHF 38'980.–","04.2024","04.2024","8'000 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","150 PS (110 kW)","5.9 l/100 km","Nein","Nein","Ja","[EA5] Anschlussgarantie 4. Jahr, max. 80'000 km, (netto)
[0E0E] mythosschwarz-mythosschwarz","AusstattungenOptionale AusstattungAssist: RückfahrkameraAudi drive selectDachhimmel in Stoff schwarzDekor: Aluminiumoptik im InterieurDekor: Interieurelemente in KunstlederEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Media: Audi Phone BoxMedia: Audi connect Navigation & Infotainment plus - 3 JahreArrow down iconMehr anzeigen","AMAG Automobil und Motoren AG Audi Oftringen","Luzernerstrasse 41, 4665 Oftringen","https://www.amag.ch/de/garagenuebersicht/garage-oftringen.html","Geschäft 062 789 10 80"
"1733582163-64","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-11968526","AUDI A1 Sportback 30 TFSI S Line Attraction","Preis inkl. Klein-Flottennachlass berechnet! Nur gültig mit Flottennachweis.","CHF 35'860.–","Neues Fahrzeug","Neues Fahrzeug","20 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","115 PS (85 kW)","5.7 l/100 km","Nein","Nein","Ja","[9ZE] Audi Phone Box
[7HB] Dekor: Interieurelemente in Kunstleder

Wir freuen uns auf Ihren Besuch! Für eine Besichtigung bitte einen Termin mit unserem Verkaufsteam unter der Nummer 0552852075 ...","AusstattungenOptionale AusstattungAssist: Audi pre sense basicAssist: RückfahrkameraAssist: SpurwechselwarnungDachhimmel in Stoff schwarzEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 5 Jahre oder 100'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lackierung: Dachkuppel in KontrastfarbeLackierung: Metallic-LackierungArrow down iconMehr anzeigen","Central-Garage H. Böckmann AG","Benknerstrasse 20, 8730 Uznach","http://www.cghb.ch","Geschäft 055 285 20 75"
"1733582166-65","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-40-tfsi-s-line-11567256","AUDI A1 Sportback 40 TFSI S Line","**Audi A1 40 TFSI**Rückfahrkamera**Assistenzpaket pro**Sonos Soundsystem**uvm**","CHF 39'900.–","08.2024","08.2024","3'500 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","207 PS (152 kW)","6.6 l/100 km","Nein","Nein","Ja","836866","AusstattungenOptionale AusstattungAssist: Audi pre sense basicAssist: ParkassistentAssist: RückfahrkameraAssist: SpurwechselwarnungAudi virtual cockpitDachhimmel in Stoff schwarzDekor: Aluminiumoptik im InterieurDekor: Interieurelemente in KunstlederEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugKlima: 2-Zonen-KomfortklimaautomatikArrow down iconMehr anzeigen","Amag Utoquai","Utoquai, 8008 Zürich","https://www.amag.ch/de/garagenuebersicht/garage-zuerich-utoquai.html","Geschäft 044 269 51 51"
"1733582168-66","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-11574260","AUDI A1 Sportback 30 TFSI Attraction","Standort: Zürich-Altstetten - Rautistrasse 23 in 8048 Zürich/ Tel: 044 405 68 68","CHF 23'900.–","05.2024","05.2024","2'000 km","Schaltgetriebe manuell","Vorderradantrieb","Kleinwagen","Benzin","115 PS (85 kW)","5.4 l/100 km","Ja","Nein","Ja","Audi Swiss Service Package 3 Jahre / 100'000  km Reparatur - Service bis 100'000 km / 10 Jahr","AusstattungenOptionale AusstattungAssist: BerganfahrassistentAssist: Einparkhilfe plusEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Mittelarmlehne vornePolster : advanced mit Sportsitz (Stoff Novum)Sitze: Sportsitze vorneMedia: 6 LautsprecherSitze: Lendenwirbelstütze, manuell einstellbar in VordersitzlehnenSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSAirbag: Airbag Beifahrer deaktivierbarArrow down iconMehr anzeigen","Audi Center Zürich Altstetten","Rautistrasse 23, 8048 Zürich","https://www.amag.ch/de/garagenuebersicht/audi-center-zuerich-altstetten.html","Geschäft 044 405 68 68"
"1733582170-67","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-11718364","AUDI A1 Sportback 30 TFSI Attraction","Paket ""Technik / Paket ""Infotainment"" / LED-Scheinwerfer / Audi Sound etc.","CHF 26'900.–","06.2024","06.2024","2'000 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","110 PS (81 kW)","5.5 l/100 km","Ja","Nein","Ja","Audi Swiss Service Package 3 Jahre  / 100'000 km  Reparatur - Service bis 100'000 km / 10 Jahre (Fahrzeug ab dem 15.08.2024 verfügbar)","AusstattungenOptionale AusstattungEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Mittelarmlehne vornePaket: GepäckraumpaketSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSAirbag: Airbag Beifahrer deaktivierbarAirbag: Airbag FahrerAirbag: Seitenairbags vorneAirbag: Window-KopfairbagsArrow down iconMehr anzeigen","Audi Center Zürich Altstetten","Rautistrasse 23, 8048 Zürich","https://www.amag.ch/de/garagenuebersicht/audi-center-zuerich-altstetten.html","Geschäft 044 405 68 68"
"1733582173-68","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-11734037","AUDI A1 Sportback 30 TFSI Attraction","Paket ""Infotainment"" / Paket ""Technik"" / LED-Scheinwerfer u.v.m","CHF 27'900.–","07.2024","07.2024","2'500 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","110 PS (81 kW)","5.5 l/100 km","Ja","Nein","Ja","Audi Swiss Service Package 3 Jahre / 100'000 km  Reparatur - Service bis 100'000km / 10 Jahre (Fahrzeug verfügbar ab dem 30.09.2024)","AusstattungenOptionale AusstattungEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Mittelarmlehne vornePaket: GepäckraumpaketSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSAirbag: Airbag Beifahrer deaktivierbarAirbag: Airbag FahrerAirbag: Seitenairbags vorneAirbag: Window-KopfairbagsArrow down iconMehr anzeigen","Audi Center Zürich Altstetten","Rautistrasse 23, 8048 Zürich","https://www.amag.ch/de/garagenuebersicht/audi-center-zuerich-altstetten.html","Geschäft 044 405 68 68"
"1733582175-69","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-11785110","AUDI A1 Sportback 30 TFSI Attraction","AMAG/CH-Fahrzeug / GRATIS-Service / 5 Jahre Garantie! SUPER-NETTO-PREIS!","CHF 33'999.–","08.2024","08.2024","50 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","115 PS (85 kW)","5.7 l/100 km","Ja","Nein","Ja","AMAG-Nr. 827598 (CODE 33)","AusstattungenOptionale AusstattungAssist: ParkassistentAssist: RückfahrkameraAssist: SpurwechselwarnungAudi drive selectGarantie: Audi Garantie: 5 Jahre oder 100'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lackierung: Metallic-LackierungMittelarmlehne vornePaket: AblagepaketArrow down iconMehr anzeigen","AMAG Winterthur","Zürcherstrasse 240, 8406 Winterthur-Töss","http://www.winterthur.amag.ch","Geschäft 052 208 31 31"
"1733582177-70","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-11312929","AUDI A1","Preis inkl. Klein-Flottennachlass berechnet! Nur gültig mit Flottennachweis.","CHF 40'245.–","Neues Fahrzeug","Neues Fahrzeug","20 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","207 PS (152 kW)","6.7 l/100 km","Nein","Nein","Ja","[7HB] Dekor: Interieurelemente in Kunstleder

Wir freuen uns auf Ihren Besuch! Für eine Besichtigung bitte einen Termin mit unserem Verkaufsteam unter der Nummer 0552852075 oder per Mail vereinbaren! ...","AusstattungenOptionale AusstattungAssist: Audi pre sense basicAssist: RückfahrkameraAssist: SpurwechselwarnungAudi virtual cockpitDachhimmel in Stoff schwarzEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 5 Jahre oder 100'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lackierung: Perleffekt-LackierungArrow down iconMehr anzeigen","Central-Garage H. Böckmann AG","Benknerstrasse 20, 8730 Uznach","http://www.cghb.ch","Geschäft 055 285 20 75"
"1733582180-71","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-11776187","AUDI A1 Sportback 30 TFSI S Line Attraction","**Audi A1 30 TFSI**Rückfahrtkamera**LED-Scheinwerfer**MMI-Navigationssystem-plus**Uvm","CHF 27'500.–","04.2021","04.2021","37'000 km","Halbautomatisches Getriebe","Vorderradantrieb","Kleinwagen","Benzin","110 PS (81 kW)","-","Nein","Nein","Ja","862858","AusstattungenOptionale AusstattungAssist: Adaptiver GeschwindigkeitsassistentAssist: Audi pre sense basicAssist: Einparkhilfe plusAssist: Kamerabasierte VerkehrszeichenerkennungAssist: RückfahrkameraAssist: Spurverlassenswarnung und SpurwechselwarnungKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lenkrad: Sportkontur-Lederlenkrad im 3-Speichen-Design unten abgeflacht mit Multifunktion plusMedia: Audi connect Navigation & Infotainment plus - 3 JahreArrow down iconMehr anzeigen","Amag Utoquai","Utoquai, 8008 Zürich","https://www.amag.ch/de/garagenuebersicht/garage-zuerich-utoquai.html","Geschäft 044 269 51 51"
"1733582182-72","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-11129230","AUDI A1 Sportback 30 TFSI S Line Attraction","AMAG CH-Ausführung / Gratisservice","CHF 31'900.–","12.2023","12.2023","12'500 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","110 PS (81 kW)","5.9 l/100 km","Nein","Nein","Ja","[4ZP] Optikpaket schwarz plus
[C5Q] Aluräder, 7.5J x 17, 5-Arm-Polygon, schwarz, Reifen 215/45 R 17
[EA5] Anschlussgarantie 4. Jahr, max. 80'000 km, (netto)
[2Y0E] gletscherweiss-mythosschwarz

ASSP+: ...","AusstattungenOptionale AusstattungAssist: Kamerabasierte VerkehrszeichenerkennungAssist: ParkassistentAssist: RückfahrkameraAssist: SpurwechselwarnungAudi drive selectDachhimmel in Stoff schwarzDekor: Aluminiumoptik im InterieurEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Arrow down iconMehr anzeigen","AMAG Frauenfeld","Zürcherstrasse 331, 8500 Frauenfeld","https://www.amag.ch/de/garagenuebersicht/garage-frauenfeld.html","Geschäft 052 728 97 77"
"1733582185-73","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-12-tfsi-attraction-11597893","AUDI A1 1.2 TFSI Attraction","Frisch ab MFK/Service gepflegt/ab Service/Navi/PDC hinten/Bluetooth/Sitzheizung/sparsam/läuft einwandfrei/Garantie op./uvm…","CHF 6'990.–","02.2012","02.2012","192'456 km","Schaltgetriebe manuell","Vorderradantrieb","Kleinwagen","Benzin","86 PS (63 kW)","5.1 l/100 km","Ja","Nein","Ja","Besten Dank für Ihr Interesse an einem unserer Fahrzeuge.

Gerne stehen wir Ihnen für eine unverbindliche Beratung oder eine Probefahrt zur Verfügung.

Änderungen und irrtümer vorbehalten ...","AusstattungenOptionale AusstattungAblagenpaketAirbag: Airbag Beifahrer deaktivierbarAussenspiegel Abdeckung Audi exclusiveAussenspiegel rechts und links elektr.Competition kit legends interiorConnectivity PaketMedia: Audi music interfaceMedia: Bluetooth-SchnittstelleVorbereitung NavigationssystemDekorblenden MisanorotFahrer-InformationssystemFrontscheibe mit Color-BandGarantie: 5 Jahre oder 150'000 km (ab 1. Inv.)Arrow down iconMehr anzeigen","Ezo Cars GmbH","Zürcherstrasse 102, 8852 Altendorf","http://www.ezocars.ch","Verkauf 078 716 79 73"
"1733582187-74","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-advanced-11624963","AUDI A1 Sportback 30 TFSI advanced","","CHF 31'900.–","05.2024","05.2024","12'900 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","110 PS (81 kW)","5.9 l/100 km","Nein","Nein","Ja","[EA5] Anschlussgarantie 4. Jahr, max. 80'000 km, (netto)
[4ZP] Optikpaket schwarz plus
[0E0E] mythosschwarz-mythosschwarz","AusstattungenOptionale AusstattungAssist: RückfahrkameraAssist: SpurwechselwarnungDachhimmel in Stoff schwarzDekor: Aluminiumoptik im InterieurEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugKomfortschlüssel (ohne Safelock)Mittelarmlehne vornePaket: AssistenzpaketPaket: GepäckraumpaketPaket: Kontur / Ambiente Lichtpaket, mehrfarbigArrow down iconMehr anzeigen","Audi Center AMAG Zürich","Giessenstrasse 4, 8600 Dübendorf","http://www.autowelt.amag.ch","Geschäft 044 325 49 00"
"1733582190-75","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-11732671","AUDI A1 Sportback 30 TFSI","","CHF 24'900.–","06.2020","06.2020","44'000 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","115 PS (85 kW)","6.9 l/100 km","Nein","Nein","Ja","[6FE] Kontrastpaket 2 mythosschwarz oder manhattangrau (Aussenspiegel, Frontspoilerlippe und Seitenschweller)
[2Y0E] gletscherweiss-mythosschwarz
[WK5] A1 Attraction
[EA5] Anschlussgarantie 4. ...","AusstattungenOptionale AusstattungAbgedunkelte Seiten- und HeckscheibeAssist: RückfahrkameraAudi Sound SystemGepäckraumpaketKlimatisierungsautomatikMMI Navigationssystem PlusSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenAblagefachAdaptives BremslichtAirbag: Airbag Beifahrer deaktivierbarArrow down iconMehr anzeigen","Audi Center AMAG Zürich","Giessenstrasse 4, 8600 Dübendorf","http://www.autowelt.amag.ch","Geschäft 044 325 49 00"
"1733582192-76","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-11886408","AUDI A1 Sportback 30 TFSI S Line Attraction","AUDI TEAM, AMAG ZUG, 041 748 57 95, Für Besichtigung bitte Termin vereinbaren","CHF 39'270.–","10.2024","10.2024","50 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","115 PS (85 kW)","5.7 l/100 km","Nein","Nein","Ja","[3GD] Gepäckraumpaket
[4ZP] Optikpaket schwarz plus
[9ZE] Audi Phone Box
[A41] Audi Swiss Service Package+
[WK0] Paket Infotainment
[Z70E] chronosgrau-mythosschwarz
[GB1] LTE-Unterstützung ...","AusstattungenOptionale AusstattungAssist: Audi pre sense basicAssist: RückfahrkameraAssist: SpurwechselwarnungAudi drive selectDachhimmel in Stoff schwarzDekor: Aluminiumoptik im InterieurDekor: Interieurelemente in KunstlederEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Arrow down iconMehr anzeigen","AMAG Audi Center Zug","Alte Steinhauserstrasse 1, 6330 Cham","http://www.zug.amag.ch","Geschäft 041 748 57 57"
"1733582194-77","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-11886447","AUDI A1 Sportback 30 TFSI S Line Attraction","AUDI TEAM, AMAG ZUG, 041 748 57 95, Für Besichtigung bitte Termin vereinbaren","CHF 39'270.–","10.2024","10.2024","50 km","Automatikgetriebe","Vorderradantrieb","Kleinwagen","Benzin","115 PS (85 kW)","5.7 l/100 km","Nein","Nein","Ja","[A41] Audi Swiss Service Package+
[GB1] LTE-Unterstützung für Audi phone box
[WK0] Paket Infotainment
[2D0E] navarrablau - mythosschwarz
[3GD] Gepäckraumpaket
[4ZP] Optikpaket schwarz plus
[9ZE] ...","AusstattungenOptionale AusstattungAssist: Audi pre sense basicAssist: RückfahrkameraAssist: SpurwechselwarnungAudi drive selectDachhimmel in Stoff schwarzDekor: Aluminiumoptik im InterieurDekor: Interieurelemente in KunstlederEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Arrow down iconMehr anzeigen","AMAG Audi Center Zug","Alte Steinhauserstrasse 1, 6330 Cham","http://www.zug.amag.ch","Geschäft 041 748 57 57"
"1733582197-78","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=7","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-advanced-attraction-tausilber-metallic-11882816","AUDI A1 Sportback 30 TFSI advanced Attraction Tausilber Metallic","CH-Fahrzeug - MMI Navigation plus - Rückfahrkamera - Interieur S line - adaptive cruise control - Komfortklima 2 Zone","CHF 29'999.–","05.2023","05.2023","6'297 km","Halbautomatisches Getriebe","Vorderradantrieb","Kleinwagen","Benzin","110 PS (81 kW)","-","Ja","Nein","Ja","- Zuzüglich 4 Winterreifen gebraucht
- Zuzüglich Ablieferungspauschale CHF. 400.-","AusstattungenOptionale AusstattungAssist: Adaptiver GeschwindigkeitsassistentAssist: Einparkhilfe plusAssist: RückfahrkameraKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lackierung: Metallic-LackierungMedia: MMI Navigation plus mit MMI touchMittelarmlehne vornePaket: Optikpaket schwarzPaket: S line mit Sportsitz (Stoff Puls / Kunstleder mono.pur 550- Kombination schwarz)Dachhimmel in Stoff schwarzEinstiegsleisten mit Aluminiumeinlegern vorne, unbeleuchtet, mit S-SchriftzugFussmatten vorne und hintenSitze: Sportsitze vorneArrow down iconMehr anzeigen","Garage G. Bürgisser AG","Stiegenackerstrasse 2, 5634 Merenschwand","http://www.buergisser-garage.ch","Geschäft 056 675 10 60"
