web-scraper-order,web-scraper-start-url,as24_a1,as24_a1-href,title_raw,short_description_raw,price_raw,car_data_raw,first_release_raw,mileage_raw,transmission_raw,drive_raw,cartype_raw,fuel_raw,ps_raw,fuel_consumption_raw,motor_vehicle_inspection_raw,accidentcar_raw,guarantee_raw,car_description_raw,equipment_raw,seller_raw,selleraddress_raw,sellerwebsite_raw,seller_phonenumber_raw
1734007174-122,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=14,,https://www.autoscout24.ch/de/d/audi-a4-avant-35-tdi-s-tronic-11924128,AUDI A4 Avant 35 TDI S-tronic,Frisch ab MFK / ab Serrvice / exkl 12 Monate Garantie / Automat Getriebe / Navi . / 8 Fach Breift...,CHF 28'900.–,Calendar icon07.2021Car iconKombiRoad icon41'900 kmGas station iconMild-Hybrid Diesel/ElektroTransmission iconHalbautomatisches GetriebeVehicle power icon163 PS (120 kW)Drive type iconVorderradantriebConsumption icon5.2 l/100 kmC,07.2021,41'900 km,Halbautomatisches Getriebe,Vorderradantrieb,Kombi,Mild-Hybrid Diesel/Elektro,163 PS (120 kW),5.2 l/100 km,Ja,Nein,Ja,,"AusstattungenSerienmässige Ausstattung3 Kopfstützen hinten3-Punkt-Sicherheitsgurte auf allen PlätzenABS, EBD elektronische BremskraftverteilungAdBlue-Tank 8 (12 l)Airbag: Seitenairbags vorneAirbag: Window-KopfairbagsAudi connect NotrufAudi drive selectAudi pre sense cityAussenspiegel in WagenfarbeArrow down iconMehr anzeigen",Autopark Münchwilen GmbH,"Neuhausstrasse 42, 9542 Münchwilen TG",,Verkauf 071 525 35 32
1734007176-123,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=14,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-tfsi-sport-s-tronic-11949424,AUDI A4 Avant 2.0 TFSI Sport S-tronic,ab MFK 10.01.2024 & Frisch ab Service ! 12 Monate Garantie ! 8-Fach bereift ! Sitzheizung ! Parksensoren vorne/hinten ! Navi,CHF 16'499.–,Calendar icon06.2016Car iconKombiRoad icon163'000 kmGas station iconBenzinTransmission iconHalbautomatisches GetriebeVehicle power icon190 PS (140 kW)Drive type iconVorderradantriebConsumption icon5.4 l/100 kmC,06.2016,163'000 km,Halbautomatisches Getriebe,Vorderradantrieb,Kombi,Benzin,190 PS (140 kW),5.4 l/100 km,Ja,10.01.2024,Ja,"*******************
Unser Standorte:
1) Bahnhofstrasse 36 (Verkaufsbüro und Fahrzeuge)
*******************

Sehr geehrte Damen und Herren

Wir freuen uns über Ihr Interesse an unseren ...","AusstattungenOptionale Ausstattung3 Speichen-LederlenkradAbgedunkelte Seiten- und HeckscheibeAkustikglasAlcantara-/Leder-AusstattungAudi Smartphone InterfaceAudi Sound SystemAudi virtual cockpit 12,3''Connectivity PaketMedia: Audi music interfaceVorbereitung NavigationssystemEinparkhilfeInfotainment PaketAudi Sound SystemAudi connectMMI Navigationssystem PlusMedia: Audi Phone BoxMultifunktionslenkradNotrufsystemArrow down iconMehr anzeigen",Universal Garage-Cars,"Bahnhofstrasse 36, 5322 Koblenz",,Occasionen 076 318 52 80
1734007179-124,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=14,,https://www.autoscout24.ch/de/d/audi-a4-avant-40-tdi-s-line-quattro-s-tronic-11647397,AUDI A4 Avant 40 TDI S line quattro S-tronic,Fahrzeugstandort ist 4414 Füllinsdorf. Unabhängig und transparent durch TCS-Experten geprüft.,CHF 39'900.–,Calendar icon08.2022Car iconKombiRoad icon36'870 kmGas station iconDieselTransmission iconHalbautomatisches GetriebeVehicle power icon204 PS (150 kW)Drive type iconAllradConsumption icon6.4 l/100 kmD,08.2022,36'870 km,Halbautomatisches Getriebe,Allrad,Kombi,Diesel,204 PS (150 kW),6.4 l/100 km,Ja,12.08.2022,Ja,"Guten Tag und herzlich willkommen beim Touring Club Schweiz (TCS) – Ihr neutraler und kompetenter Partner rund um das Thema Mobilität.

Der TCS wurde vom aktuellen Fahrzeugbesitzer beauftragt, um ...",AusstattungenOptionale AusstattungAssist: AnfahrassistentAssist: RückfahrkameraAudi virtual cockpit plusKomfortmittelarmlehne vorneLackierung: Perleffekt-LackierungLenkrad: Lederlenkrad im 3-Speichen-Design mit Multifunktion plusLicht: Fernlicht-AssistentLicht: LED-Scheinwerfer mit LED-Heckleuchten und dynamischem Blinklicht HeckMedia: Audi Smartphone InterfaceMedia: Audi SoundsystemArrow down iconMehr anzeigen,Touring Club Schweiz (TCS),"Buholzstrasse 40, 6032 Emmen",,Geschäft 058 827 36 25
1734007181-125,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=14,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-tfsi-multitronic-sline-11987763,AUDI A4 Avant 2.0 TFSI multitronic Sline,"* Frisch ab MFK * * 8-fach Alubereift * S line-Sportpaket, Stoff-Leder * Paket Advance * Memoryfunktion *",CHF 10'900.–,Calendar icon12.2008Car iconKombiRoad icon167'900 kmGas station iconBenzinTransmission iconStufenlosVehicle power icon211 PS (155 kW)Drive type iconVorderradantriebConsumption icon7.3 l/100 km,12.2008,167'900 km,Stufenlos,Vorderradantrieb,Kombi,Benzin,211 PS (155 kW),7.3 l/100 km,Ja,Nein,Nein,"Herzlichen Dank, dass Sie sich für unser Fahrzeug interessieren.

Bitte vereinbaren Sie einen Besichtigungstermin, damit wir das Fahrzeug für Sie bereitstellen können.

Eintausch, Garantie, ...","AusstattungenOptionale AusstattungAudi Sound SystemAussenspiegel mit Memory, elektrischMultifunktions-Sportlenkrad in LederPaket AdvanceAbschliessbares HandschuhfachArmlehne vorne mit AblagefachCupholder hintenGepäcknetze an beiden VordersitzenKlima: 3-Zonen-KlimatisierungsautomatikLicht- und RegensensorNebelscheinwerferPark Distance Control hintenSchublade unter BeifahrersitzSchublade unter FahrersitzTempomatS line ExterieurpaketS line-Sportpaket, Stoff-LederAlu-Räder im 5-Speichen-Design 8x18JAluminiumapplikationen mattDachhimmel schwarzS-Line SportfahrwerkSitze: Elektrisch einstellbare Lendenwirbelstütze für VordersitzeSportsitze vorneStoff-/Leder-AusstattungTüreinstiegsleisten S lineSerienmässige Ausstattung3 Kopfstützen hinten3 Speichen-Sportlenkrad3-Punkt-Sicherheitsgurte auf allen Plätzen8-Stufen-Automat MultitronicArrow down iconMehr anzeigen",AC Motorsport GmbH,"Neue Winterthurerstrasse 5, 8303 Bassersdorf",,Geschäft 044 888 31 32
1734007183-126,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=14,,https://www.autoscout24.ch/de/d/audi-a4-limousine-20-tdi-sport-s-tronic-frisch-ab-mfk-11987085,AUDI A4 Limousine 2.0 TDI Sport S-tronic**frisch ab MFK**,Top Zustand / Frisch ab MFK / ab Service / Digitaltacho / CH Fahrzeug / Limousine / Audi Drive Select / Bluetooth / NAVI /,CHF 23'999.–,Calendar icon05.2018Car iconLimousineRoad icon99'500 kmGas station iconDieselTransmission iconHalbautomatisches GetriebeVehicle power icon190 PS (140 kW)Drive type iconVorderradantriebConsumption icon4.1 l/100 kmA,05.2018,99'500 km,Halbautomatisches Getriebe,Vorderradantrieb,Limousine,Diesel,190 PS (140 kW),4.1 l/100 km,Ja,10.12.2024,Ja,"Der Audi A4 Limousine 2.0 TDI befindet sich in einem Top Zustand. Zudem wird es frisch ab MFK verkauft. Hierbei handelt es sich um ein schweizer Fahrzeug.

Ausstattung:

-Top Zustand ...","AusstattungenOptionale AusstattungAssistenz PaketAdaptive cruise controlAssist: Audi active lane assistVerkehrszeichenerkennung RSIAudi music interfaceAussenspiegel rechts und links beheizt,Connectivity PaketMedia: Audi music interfaceMedia: Bluetooth-SchnittstelleVorbereitung NavigationssystemInfotainment PaketAudi Sound SystemAudi connectMMI Navigationssystem PlusMedia: Audi Phone Box inkl.LTEMultifunktionslenkradLED ScheinwerferMMI NavigationssystemMatrix LED ScheinwerferMetallic-LackierungSitze: Vordersitze heizbarArrow down iconMehr anzeigen",GSD Auto GmbH,"Sägereistrasse 3, 8500 Frauenfeld",,Geschäft 079 891 90 09
1734007186-127,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=14,,https://www.autoscout24.ch/de/d/audi-a4-avant-45-tfsi-s-line-s-tronic-quattro-11538133,AUDI A4 Avant 45 TFSI S line S-tronic quattro,**Vorführwagen - CH-Fahrzeug - Top Ausstattung**,CHF 75'900.–,Calendar icon12.2023Car iconKombiRoad icon8'000 kmGas station iconMild-Hybrid Benzin/ElektroTransmission iconAutomatikgetriebeVehicle power icon265 PS (195 kW)Drive type iconAllradConsumption icon7.8 l/100 kmE,12.2023,8'000 km,Automatikgetriebe,Allrad,Kombi,Mild-Hybrid Benzin/Elektro,265 PS (195 kW),7.8 l/100 km,Nein,Nein,Ja,"[6XL] Aussenspiegel rechts und links beheizt, elektrisch verstell-/ und einklappbar mit Memory - inkl. automatisch abblendend
[N5K] Polster: Mikrofaser Frequenz/Leder-Kombination mit S-Prägung
[UH2] ...",AusstattungenOptionale AusstattungAnhängevorrichtungAssist: Parkassistent mit Einparkhilfe plusAssist: RückfahrkameraAudi virtual cockpit plusAussenspiegelgehäuse in Schwarz glänzendBremssättel rot lackiertDachhimmel schwarzDekor: Dekoreinlagen in Aluminium matt gebürstetDekor: Interieurelemente in KunstlederFahrwerk: Komfortfahrwerk mit DämpferregelungArrow down iconMehr anzeigen,GNG AG,"Langfeldstrasse 10, 9200 Gossau",,Geschäft 071 388 57 57
1734007188-128,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=14,,https://www.autoscout24.ch/de/d/audi-a4-cabriolet-18-turbo-9326623,AUDI A4 Cabriolet 1.8 Turbo,aus 1. Hand - garantierte Kilometer - ab Service grossem & MFK - neue Reifen - sparsam im Verbrauch - günstig im Unterhalt,CHF 17'900.–,Calendar icon02.2004Car iconCabrioletRoad icon38'955 kmGas station iconBenzinTransmission iconSchaltgetriebe manuellVehicle power icon163 PS (120 kW)Drive type iconVorderradantriebConsumption icon8.6 l/100 kmG,02.2004,38'955 km,Schaltgetriebe manuell,Vorderradantrieb,Cabriolet,Benzin,163 PS (120 kW),8.6 l/100 km,Ja,01.07.2024,Nein,"alle Fahrzeugangebote finden sie auf unserer Website www.autovogel.ch

Herzlichen Dank für Ihr Interesse an unserem Fahrzeug

Sehr gepflegtes Audi A4 Cabriolet mit sehr wenig ...",AusstattungenOptionale AusstattungAlcantara-/Lederausstattungs-PaketAlcantara-/Leder-AusstattungSportsitze vorne mit KreuzstützeVordersitze heizbarDekor: Holzapplikationen NussbaumFahrer-InformationssystemMica-/Metallescente-LackierungPaket: Innenraumlicht-PaketRadio ConcertReserverad analog Felgen/Reifen VarianteScheinwerfer-WaschanlageWindschottXenon-LichtanlageXenon-LichtanlageArrow down iconMehr anzeigen,Auto Vogel & Partner AG,"Buzibachstrasse 43, 6023 Rothenburg",,Geschäft 041 450 22 22
1734007190-129,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=14,,https://www.autoscout24.ch/de/d/audi-a4-avant-30-tdi-sport-quattro-tiptronic-10765832,AUDI A4 Avant 3.0 TDI Sport quattro tiptronic,* Frisch ab MFK 24.06.2024* Ab Service * CH-Fahrzeug * NAVI * Rückfahrkamera * Keyless * PDC * Sitzheizung *,CHF 26'900.–,Calendar icon03.2017Car iconKombiRoad icon93'000 kmGas station iconDieselTransmission iconAutomatVehicle power icon272 PS (200 kW)Drive type iconAllradConsumption icon5.1 l/100 kmC,03.2017,93'000 km,Automat,Allrad,Kombi,Diesel,272 PS (200 kW),5.1 l/100 km,Ja,24.06.2024,Ja,* Frisch ab MFK * Ab Service * CH-Fahrzeug * NAVI * Rückfahrkamera * Keyless * PDC * Sitzheizung * Tempomat * Servicegepflegt * Unfallfrei * 12 Monate Garantie*,AusstattungenOptionale AusstattungAssistenz PaketAdaptive cruise controlAssist: Audi active lane assistVerkehrszeichenerkennung RSIAssistenzpaket StadtAssist: AusstiegswarnungAssist: Einparkhilfe plusAssist: Querverkehrsassistent hintenAssist: RückfahrkameraAudi pre sense basicAudi side assist inkl. pre sense rearAssistenzpaket Stadt + ParkenAssist: Einparkhilfe plusAudi side assist inkl. pre sense rearUmgebungskameras + ParklenkassistentVerkehrsschild-ErkennungssystemInfotainment PaketAudi Sound SystemAudi connectMMI Navigationssystem PlusMedia: Audi Phone BoxMultifunktionslenkradNotrufsystemKomfortpaket AvantAblagenpaketAssist: RückfahrkameraDämpferregelungKomfortschlüssel inklusiveKreuzstützen für Vordersitze elektrischSitze: Vordersitze elektrisch verstellbarTechnikpaketAssist: Einparkhilfe plusInnenspiegel automatisch abblendbarKlimatisierungsautomatik KomfortLED ScheinwerferLicht: Licht- und RegensensorTempomatSerienmässige Ausstattung3 Kopfstützen hinten3-Punkt-Sicherheitsgurte auf allen PlätzenAblagen in den TürenAirbag: Airbag Fahrer und BeifahrerArrow down iconMehr anzeigen,Zefi Automobile,"Fischingerstrasse 69 (MIT NAVI 67), 8370 Sirnach",,Geschäft 079 700 43 41
1734007197-130,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=13,,https://www.autoscout24.ch/de/d/audi-a4-avant-40-tdi-s-line-attraction-quattro-s-tronic-11929224,AUDI A4 Avant 40 TDI S line Attraction quattro S-tronic,"Frisch ab MFK und ab Service, 24 Monate Garantie, 8-fach-bereift, LED-Scheinwerfer, Panoramadach",CHF 28'500.–,Calendar icon04.2021Car iconKombiRoad icon126'000 kmGas station iconDieselTransmission iconHalbautomatisches GetriebeVehicle power icon204 PS (150 kW)Drive type iconAllradConsumption icon5.7 l/100 kmD,04.2021,126'000 km,Halbautomatisches Getriebe,Allrad,Kombi,Diesel,204 PS (150 kW),5.7 l/100 km,Ja,Nein,Ja,"Wir freuen uns, Sie bei uns begrüssen zu dürfen!
Gerne zeigen wir Ihnen das Fahrzeug persönlich. Bitte kontaktieren Sie uns vorgängig, um einen Termin für eine Beratung sowie eine Probefahrt zu vereinbaren.
Für ...",AusstattungenOptionale AusstattungAssist: Kamerabasierte VerkehrszeichenerkennungAssist: RückfahrkameraAudi virtual cockpit plusAussenspiegelgehäuse in Schwarz glänzendDachhimmel schwarzDekor: Akzentflächen Glasoptik schwarzDekor: Dekoreinlagen in Aluminium matt gebürstetFahrwerk: Komfortfahrwerk mit DämpferregelungKomfortmittelarmlehne vorneLackierung: Perleffekt-LackierungArrow down iconMehr anzeigen,Garage  Elio GmbH,"Industriestrasse 12, 6436 Ried (Muotathal)",,Geschäft 041 830 15 15
1734007199-131,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=13,,https://www.autoscout24.ch/de/d/audi-a4-avant-40-tdi-sport-quattro-s-tronic-12002180,AUDI A4 Avant 40 TDI Sport quattro S-tronic,CH-Fahrzeug...S-LINE...Rückfahrkamera...LED-Scheinwerfer...Sitzheizung...Tempomat...Virtual Cockpit...Navigationssystem,CHF 17'800.–,Calendar icon01.2019Car iconKombiRoad icon187'900 kmGas station iconDieselTransmission iconHalbautomatisches GetriebeVehicle power icon190 PS (140 kW)Drive type iconAllradConsumption icon5 l/100 km,01.2019,187'900 km,Halbautomatisches Getriebe,Allrad,Kombi,Diesel,190 PS (140 kW),5 l/100 km,Nein,Nein,Nein,"Ab sofort verfügbar:

Audi A4 40TDI Avant Quattro S-Line

- CH-Fahrzeug
- Rückfahrkamera
- S-Line
- Sitzheizung
- Navigationssystem
- LED-Scheinwerfer
- ...",,Wohlicar GmbH Nutzfahrzeuge,"Industriestrasse 16, 5610 Wohlen",,Geschäft 078 310 32 30
1734007202-132,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=13,,https://www.autoscout24.ch/de/d/audi-a4-avant-30-tdi-s-line-quattro-s-tronic-11165300,"AUDI A4 Avant 3.0 TDI S line,quattro S-tronic",CH-FZ*Frisch ab MFK*S line-Sportpaket*Sportfahrwerk*Park Distance Control V+H*Ambientepaket*nfotainment Paket*Tempomat,CHF 15'900.–,Calendar icon11.2014Car iconKombiRoad icon142'322 kmGas station iconDieselTransmission iconHalbautomatisches GetriebeVehicle power icon245 PS (180 kW)Drive type iconAllradConsumption icon5.9 l/100 kmE,11.2014,142'322 km,Halbautomatisches Getriebe,Allrad,Kombi,Diesel,245 PS (180 kW),5.9 l/100 km,Nein,Nein,Ja,"***Herzlich willkommen bei Albini Auto GmbH***

**Service bei Audi bisher**
1. 1 Km
2. 58'204 Km
3. 88'032 Km
4. 112'068 Km
5. 126'806 Km

Besten Dank für Ihr Interesse an einem ...",AusstattungenOptionale AusstattungAblagenpaketArmauflagen Türen in LederAssist: Audi hold assistAudi Sound SystemAudi drive selectDachhimmel schwarzDachreling blankFahrer-Informationssystem mitFahrwerk: SportfahrwerkInfotainment PaketAudi Sound SystemMMI NavigationssystemMedia: Audi music interfaceMedia: Bluetooth-SchnittstelleMultifunktionslenkradArrow down iconMehr anzeigen,Albini Auto GmbH,"Riedmattstrasse 8, 8153 Rümlang-Zürich",,Mobil 076 813 32 32
1734007204-133,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=13,,https://www.autoscout24.ch/de/d/audi-a4-40-tdi-s-line-quattro-quattro-s-tronic-11630498,AUDI A4 40 TDI S line quattro quattro S-tronic,,CHF 32'000.–,Calendar icon02.2020Car iconLimousineRoad icon69'567 kmGas station iconDieselTransmission iconHalbautomatisches GetriebeVehicle power icon190 PS (140 kW)Drive type iconAllradConsumption icon4.9 l/100 km,02.2020,69'567 km,Halbautomatisches Getriebe,Allrad,Limousine,Diesel,190 PS (140 kW),4.9 l/100 km,Ja,Nein,Ja,GEPFLEGTES  AUTO SERVIC REGEL MESIG EINTAUSCH MÖGLICH,AusstattungenOptionale AusstattungAblagenpaketAlcantara-/Leder-AusstattungAmbientebeleuchtungArmlehne vorne mit AblagefachAssist: Einparkhilfe hintenAssist: RückfahrkameraAssistenzpaket StadtAssist: RückfahrkameraAudi side assist inkl. pre sense rearAssistenzpaket Stadt + ParkenAssist: AusstiegswarnungAssist: Parkassistent mit Einparkhilfe plusAssist: Querverkehrsassistent hintenAssist: RückfahrkameraAssist: UmgebungskamerasAudi side assist inkl. pre sense rearDachhimmel schwarzDekor: Dekoreinlagen Carbon KöperArrow down iconMehr anzeigen,SD - Garage AG,"Gillhofstrasse 3, 8554 Bonau",,Mobil 076 522 71 35
1734007206-134,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=13,,https://www.autoscout24.ch/de/d/audi-a4-avant-30-tdi-quattro-s-tronic-12010623,AUDI A4 Avant 3.0 TDI quattro S-tronic,,CHF 8'950.–,Calendar icon04.2014Car iconKombiRoad icon282'000 kmGas station iconDieselTransmission iconHalbautomatisches GetriebeVehicle power icon245 PS (180 kW)Drive type iconAllradConsumption icon5.9 l/100 kmE,04.2014,282'000 km,Halbautomatisches Getriebe,Allrad,Kombi,Diesel,245 PS (180 kW),5.9 l/100 km,Nein,07.01.2021,Nein,Autobahn km**Guter zustand**Navigation**Xenon**Teilleder**,"AusstattungenOptionale AusstattungAlcantara-/Leder-AusstattungAussenspiegel rechts und links beheizt, elektrisch verstell- / und einklappbarHeckklappe elektrischInfotainment PaketAudi Sound SystemMMI NavigationssystemMedia: Audi music interfaceMedia: Bluetooth-SchnittstelleMultifunktionslenkradInnenspiegel automatisch abblendbarMultifunktions-Sportlenkrad in Leder,Pack AmbienteAblagenpaketInnenspiegel automatisch abblendbarKlimatisierungsautomatik KomfortLicht- und RegensensorMittelarmlehne vorne, mit aufklappbaremPark Distance Control hintenTempomatXenon Plus-ScheinwerferPack AmbitionLicht- und RegensensorSerienmässige Ausstattung3 Kopfstützen hinten3-Punkt-Sicherheitsgurte auf allen PlätzenArrow down iconMehr anzeigen",Khalil Autohandel,"Althardstrasse 298, 8105 Regensdorf ( Zürich )",,Geschäft 076 558 55 35
1734007208-135,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=13,,https://www.autoscout24.ch/de/d/audi-a4-20-turbo-fsi-quattro-12011095,AUDI A4 2.0 Turbo FSI quattro,,CHF 2'500.–,Calendar icon11.2006Car iconLimousineRoad icon199'000 kmGas station iconBenzinTransmission iconAutomatVehicle power icon200 PS (147 kW)Drive type iconAllradConsumption icon9.1 l/100 kmG,11.2006,199'000 km,Automat,Allrad,Limousine,Benzin,200 PS (147 kW),9.1 l/100 km,Nein,03.05.2022,Nein,Auto kann überall angemeldet werden auser Kanton Zh Automatisch Getriebe Allrad sehr bielieg kann bis 70 km gratis gebracht werden,"AusstattungenSerienmässige Ausstattung3 Kopfstützen hintenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAllradantrieb permanentAlu-Räder 7,5Jx16 7-Arm-DesignAlu-Räder 7,5Jx17 5-Arm-DesignAlu-Räder 7,5X17J im 16-Speichen-DesignAlu-Räder 7,5X17J im 9-Speichen-DesignAlu-Räder 7.5J x 17 im 5-Speichen-DesignArrow down iconMehr anzeigen",auto bruno,8951 Fahrweid,,Mobil 079 815 99 99
1734007211-136,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=13,,https://www.autoscout24.ch/de/d/audi-a4-avant-30-v6-tdi-quattro-12017873,AUDI A4 Avant 3.0 V6 TDI quattro,,CHF 2'600.–,Calendar icon04.2006Car iconKombiRoad icon330'000 kmGas station iconDieselTransmission iconSchaltgetriebe manuellVehicle power icon204 PS (150 kW)Drive type iconAllradConsumption icon7.9 l/100 kmG,04.2006,330'000 km,Schaltgetriebe manuell,Allrad,Kombi,Diesel,204 PS (150 kW),7.9 l/100 km,Nein,06.09.2022,Nein,"Ab Platz 
Motorlampe leuchtet sporadisch auf fährt tip top",AusstattungenSerienmässige Ausstattung3 Kopfstützen hintenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAllradantrieb permanentAlu-Räder 7Jx16 9-Arm-DesignAluminium-ApplikationenAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Aschenbecher und ZigarettenanzünderArrow down iconMehr anzeigen,KN Dorf-Garage GmbH,"Fännstrasse 47, 6403 Küssnacht am Rigi",,Geschäft 076 479 77 15
1734007213-137,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=13,,https://www.autoscout24.ch/de/d/audi-a4-cabriolet-30-v6-12029366,AUDI A4 Cabriolet 3.0 V6,,CHF 1'900.–,Calendar icon04.2003Car iconCabrioletRoad icon254'000 kmGas station iconBenzinTransmission iconSchaltgetriebe manuellVehicle power icon220 PS (162 kW)Drive type iconVorderradantriebConsumption icon10 l/100 kmG,04.2003,254'000 km,Schaltgetriebe manuell,Vorderradantrieb,Cabriolet,Benzin,220 PS (162 kW),10 l/100 km,Nein,05.10.2023,Nein,Auto mit MFK LAUFT GUT,"AusstattungenSerienmässige Ausstattung5-Gang-GetriebeAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAlu-Räder 7Jx16J 7-Arm-DesignAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Applikationen glänzendAssist: Bremsassistent (BAS)Aussenspiegel rechts und links beheizt und elektrisch verstellbar, asphärisch gewölbtes SpiegelglasAussentemperaturanzeigeArrow down iconMehr anzeigen",Barga Autohandel,"Wiessenstrasse 24, 5412 Gebenstorf",,Mobil 079 277 05 45
1734007216-138,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=13,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-tfsi-design-quattro-s-tronic-10817652,AUDI A4 Avant 2.0 TFSI Design quattro S-tronic,Top Ausgerüstet aus 1. Hand,CHF 33'500.–,Calendar icon05.2017Car iconKombiRoad icon46'500 kmGas station iconBenzinTransmission iconHalbautomatisches GetriebeVehicle power icon252 PS (185 kW)Drive type iconAllradConsumption icon6.1 l/100 km,05.2017,46'500 km,Halbautomatisches Getriebe,Allrad,Kombi,Benzin,252 PS (185 kW),6.1 l/100 km,Ja,08.02.2023,Ja,8 Komplett Räder,"AusstattungenOptionale Ausstattung3 Speichen-LederlenkradAlcantara-/Leder-AusstattungAmbientebeleuchtungArmlehne vorne mit AblagefachAssist: Audi hold assistAssist: ParklenkassistentAssistenz PaketAdaptive cruise controlAssist: Audi active lane assistVerkehrszeichenerkennung RSIAssistenzpaket Stadt + ParkenAssist: Einparkhilfe plusAudi side assist inkl. pre sense rearUmgebungskameras + ParklenkassistentVerkehrsschild-ErkennungssystemAudi connect (3 Jahre)Audi virtual cockpit 12,3''Arrow down iconMehr anzeigen",Borioli AG,"Grossmattstrasse 26, 8964 Rudolfstetten",,Geschäft 056 633 64 74
